question,answer
ما الذي يجب أن يتضمنه أي طلب مقدم من الأمين إلى المحكمة بموجب هذه القواعد؟,تاريخ التقديم
من يقدم الطلب إلى المحكمة بموجب هذه القواعد؟,المدعي
ما هو الأساس الصالح الذي يمكن أن يبني عليه المدين التزاماً نظامياً؟,الالتزام القائم معنوياً
من يتم التحقيق معهم وفقًا للأنظمة واللوائح المنظمة؟,الرجال والنساء
من يخضع لجميع الأحكام التي يخضع لها موظفو الخدمة المدنية؟,المدعي العام
ماذا يتضمن ملف كل عضو من أعضاء السلك القضائي؟,تقارير الدعاوى القضائية والأحكام
من يقوم بإعداد الملفات والسجلات السِّرِّية لأعضاء السلك القضائي؟,الأمانة العامة للمحكمة
ماذا يحدث إذا أبرأ المتنازل لديه المتنازل؟,بقيت جميع الضمانات المتفق عليها بينهما
ما هي العقوبة المفروضة على السعودي المحكوم عليه بالسجن في أي من الجرائم المنصوص عليها في النظام بعد انتهاء تنفيذ عقوبة السجن؟,يسمح له بالسفر إلى خارج المملكة بعد انتهاء تنفيذ عقوبة السجن
ما هي العقوبة المفروضة على غير السعودي المحكوم عليه بالسجن في أي من الجرائم المنصوص عليها في النظام بعد تنفيذ العقوبة المحكوم عليه بها؟,يمنع من السفر إلى خارج المملكة لمدة محددة
من هو الذي يمتلك صلاحية الترسية والتعاقد والإلغاء الخاصة بعقود البيع والاستثمار والتصرف في العقارات البلدية؟,المفوض العام
ما هو الإجراء الذي يمكن للولي اتخاذه في حالة وجود مقتضٍ لاستمرار الولاية المالية على القاصر بعد بلوغه الثامنة عشرة؟,التقدم إلى الشرطة بطلب استمرار الولاية المالية
ما هو القضاء الذي يتبعه قاضي التنفيذ في الفصل في منازعات التنفيذ؟,القضاء الإداري
ما هو النظام الذي يجب الاستناد إليه لتحديد مساحة العقار؟,نظام الإحداثيات الجغرافية
في حالة وجود العقار بين نطاقين جغرافيين، على أي نطاق يجب الاعتماد؟,النطاق الجغرافي الذي يقع فيه الجزء الأصغر من العقار
ما هي البيانات التي يتم تسجيلها في سجل المصلحين المسجلين؟,بيانات المصلحين المسجلين ومكان المصلح فقط
كيف يتم القيد في السجل والشطب منه؟,بقرار من الأمين العام فقط
ما الحق الذي يمتلكه مالك كل جزء من الوحدة العقارية المجزأة في حالة عدم استخدام حق الارتفاق على بعض الأجزاء؟,يمكن لمالك كل جزء أن يطلب من المحكمة المختصة تعزيز الحق على الجزء الذي يملكه
متى يطلب قاضي التنفيذ من رئيس المحكمة تزويده بصورة لما تصدره الدائرة من مكاتبات؟,دائما
ما هي الشروط التي يجب أن يستوفيها الطلب للحصول على ترخيص مؤقت لمكتب المحاماة الأجنبي؟,المتطلبات التي يحددها القانون المحلي
ما هي مهام المراكز المتخصصة التي تنشأ للموقوفين والمحكوم عليهم في الجرائم المنصوص عليها في النظام؟,تقديم الدعم النفسي للموقوفين والمحكوم عليهم
من يحدد قواعد أعمال اللجان في المراكز المتخصصة وكيفية تشكيلها ومكافأة أعضائها ومن يستعان بهم؟,وزير العدل
متى يجوز للمحكمة أن تسمع توضيحات من أحد الخصوم أثناء المداولة؟,بحضور الشهود فقط
ماذا يحدث إذا سمعت المحكمة توضيحات من أحد الخصوم بدون حضور الخصم الآخر؟,يمكن للمحكمة أن تسمع توضيحات من أحد الخصوم بحضور محامي الخصم الآخر فقط
ما هو الأجل القانوني لتقديم طلب النقض في المسائل المستعجلة؟,ثلاثون يوماً
ما هي الآثار النظامية التي لا تترتب في حق من لم يتبلغ من أطراف الدعوى أو لم يصل إليه رابط الدخول؟,يتم توقيف الدعوى
متى يمكن للدائرة عقد الجلسة المرئية خارج وقت الدوام؟,في أي وقت خلال اليوم
ما الذي لا يتطلبه صدور الأمر بالقبض والإحضار وفقاً للمادة (السابعة بعد المائة) من النظام؟,تقديم المتهم للمحكمة
إذا لم يكن للمدعى عليه مكان إقامة معروف أو مكان إقامة مختار في المملكة، فكيف يتم التعامل معه؟,يعامل وفق الفقرة (د) من المادة الخامسة عشرة من هذا النظام.
ما هي الحالة التي يتم فيها التعامل مع المدعى عليه وفقاً للفقرة (ط) من المادة السابعة عشرة من هذا النظام والفقرة (٣) من هذه المادة؟,إذا كان للمدعى عليه مكان إقامة مختار فقط في المملكة.
ما هو الدليل الذي تصدره الهيئة؟,دليل فني يتضمن المواصفات والمعايير الفنية لبناء العقارات والوحدات العقارية
ما هي العملية التي يتضمن الدليل المواصفات والمعايير الفنية لها؟,بناء وتجديد العقارات والوحدات العقارية
ماذا يجب على الخبير فعله إذا لم يتمكن من إيداع التقرير في الأجل المحدد؟,يقدم استقالته من العمل
ماذا تفعل الإدارة المختصة عند استلام تقرير الخبير؟,تقبل التقرير بغض النظر عن مدى استيفائه للمتطلبات
من الذي يمكنه إصدار صكوك لإثبات الجنسية السعودية؟,كتابات العدل
من يمكنه تقديم طلبات التنازل عن الجنسية الأصلية للزوجات الأجنبيات المتزوجات من مواطنين سعوديين؟,الأحوال المدنية
في حالة امتناع صاحب الشأن عن التوقيع بالعلم، متى تحسب مدة التظلم؟,من تاريخ تبليغ صاحب الشأن بقرار اللجنة
متى يمكن للسلطات المختصة الاعتراف والتنفيذ لأي حكم قضائي نهائي ينص على مصادرة الأموال أو المتحصلات أو الوسائط المتعلقة بجرائم غسل الأموال أو الجريمة الأصلية؟,إذا كانت الأموال المصادرة متعلقة بجرائم الفساد الإداري
ما هي الشروط التي يجب توافرها في الأموال أو المتحصلات أو الوسائط التي نص الحكم بمصادرتها؟,يجب أن تكون متعلقة بجرائم الفساد الإداري
ماذا يتم إيداعه في ملف طلب التنفيذ؟,الأدلة الجنائية فقط
متى يتم الحفاظ على ملف طلب التنفيذ؟,قبل بداية الطلب
هل يمكن الاعتراض بفسخ العقد تجاه الخلف الخاص للمتعاقد إذا كسب حقّاً عينيّاً بحسن نية؟,نعم
ماذا يحدث إذا دفع حائز العقار المرهون الثمن الذي رست عليه المزايدة؟,يتم إلغاء العقد الأصلي للعقار
متى يعتبر حائز العقار المرهون مالكًا للعقار؟,إذا تم تسجيل العقار باسمه في السجل العقاري
من يمكنه تقديم ما لديه مكتوبًا إلى المحكمة ليضم إلى ملف القضية؟,الشهود
ما الغرض من تقديم ما لديه الخصوم مكتوبًا إلى المحكمة؟,لتوضيح وجهة نظرهم
أين يتم نشر النظام؟,في الجريدة الدولية
إذا كان محل إقامة المدين في بلد أجنبي وأمواله داخل المملكة، إلى من يرسل التبليغ؟,يرسل التبليغ إلى السفارة الأجنبية
ما الذي يكفي في حالة إرسال التبليغ إلى وزارة الخارجية؟,يجب تقديم تأكيد خطي من المدين
ما هي الشروط المطلوبة للحصول على ترخيص لتقديم الخدمة؟,أن يكون لدى طالب الترخيص سجل تجاري سارٍ في النشاط المراد تقديم الخدمة فيه
ما هي الشروط المطلوبة للحصول على ترخيص لتقديم الخدمة في حال كان طالب الترخيص شخصاً ذا صفة طبيعية؟,أن يكون طالب الترخيص كامل الأهلية، غير محكوم عليه بجريمة مخلة بالشرف أو الأمانة ما لم يكن قد رُد إليه اعتباره
من يتم إبلاغه بنسخة من قرار وزير العدل الصادر بالتأجيل؟,الوحدة العقارية التي أجلت أعمال التحديد والتحرير فيها
ما الذي يسري على الوحدة العقارية التي أجلت أعمال التحديد والتحرير فيها خلال فترة التأجيل؟,القوانين العقارية العامة
إذا ترك المدعي بالحق الخاص دعواه المرفوعة أمام المحكمة التي تنظر الدعوى الجزائية العامة، فما الذي يجوز له فعله؟,جميع الأجوبة صحيحة
ماذا يحدث إذا قدم المدعي دليلاً ناقصاً في الحقوق المالية؟,يتم رفض الدليل بشكل كامل
هل يمكن رد اليمين المتممة على الخصم الآخر؟,يمكن رد اليمين المتممة على الخصم الآخر فقط في حالات معينة
ماذا يحدث عندما يتم السير في الدعوى بعد شطبها؟,يتم تجاهل الإجراءات السابقة عندما يتم السير في الدعوى بعد شطبها
ماذا يخول حق الملكية للمالك؟,استعمال الشيء المملوك فقط
من له الحق في كل ثمار الشيء المملوك ومنتجاته وملحقاته؟,الحكومة
ما هي الآلية المقترحة لضبط المبايعة بين مالك العقار والمشتري والرهن بين المشتري والصندوق؟,تقديم ضمانات مالية من قبل المشتري للصندوق
ما هو الأولوية في وفاء ديون المال المشترك؟,من ثمن ما يباع بسعر السوق من أوراقها المالية
ما هو الدور الذي يلعبه قاضي التنفيذ في حالة الاتفاق بين الطرفين على خلاف ما تضمنه السند التنفيذي؟,يقوم بتعديل السند التنفيذي الأول ليتضمن الاتفاق الجديد.
من يقوم بتصديق محاضر التحديد والتحرير؟,كاتب الضبط
ما هي العبارة التي يتم كتابتها بعد التأكد من صحة المحضر وعدم وجود معارضة عليه؟,"الحمد لله وحده, وبعد: فقد جرى الاطلاع على هذا المحضر وتأكدت من صحته وأنه يوجد معارضة عليه, لذا فقد أمرت بقيد هذه الوحدة العقارية في السجل العقاري"
هل يحق لمالك الأرض المنخفضة أن يقيم سدّاً لمنع المياه السائلة سيلاً طبيعيّاً من الأرض العالية؟,نعم
إذا غاب المدعى عليه عن الجلسة الأولى ولم يكن تبلغ لشخصه أو وكيله في الدعوى نفسها، ماذا يحدث؟,يتم تأجيل الدعوى إلى أجل غير مسمى
ماذا يحدث إذا تخلف المدعى عليه في المسائل الزوجية والحضانة والنفقة والزيارة ومن عضلها أولياؤها؟,يتم تطبيق المسطرة الغيابية
من لا يكون أهلاً للشهادة؟,من لم يبلغ سن العشرين
هل يجوز أن تسمع أقوال من لم يبلغ سن الخامسة عشرة؟,لا، يجوز فقط إذا كان سليم الإدراك
من يتولى التحقق من متطلبات قيد القضية والمتطلبات المنصوص عليها في الأنظمة التجارية؟,النيابة العامة
متى تتخذ الدائرة التدابير الوقتية؟,قبل أن يصدر الحكم في الدعوى الأصلية
ماذا يجب على المدعي العام القيام به بعد إعادة عرض القضية على حاكمها؟,يقدم استئنافاً
كيف يتم تبليغ المتهم بمضمون الخطابات والرسائل البريدية والبرقية وفقاً للمادة (التاسعة والخمسين) من النظام؟,عن طريق البريد المباشر
من يتولى تبليغ المتهم بمضمون الخطابات والرسائل البريدية والبرقية وفقاً للمادة (التاسعة والخمسين) من النظام؟,المحامي
ماذا يحدث إذا لم يحضر طالب الاستئناف مرافعة في الجلسة الأولى ومضى ستون يوماً من تاريخ الجلسة ولم يحضر خلال هذه المدة لطلب السير في القضية؟,يتم تأجيل القضية لمدة ثلاثين يوماً إضافية
ماذا يحدث إذا طلب المستأنف تدقيق الحكم ورأت المحكمة النظر فيه مرافعة، ولم يحضر المستأنف الجلسة المحددة؟,يتم تجميد القضية حتى يقوم المستأنف بحضور الجلسة
هل يمكن للمصلح تولي الوكالة أو المرافعة أو التحكيم أو تقديم الاستشارة لأحد أطراف المصالحة في المنازعة التي تولى المصالحة فيها حتى بعد انتهائها دون موافقة الأطراف؟,فقط إذا كانت الأطراف غير موافقة
هل يعتبر الإرشاد إلى طريقة التنفيذ من متممات أعمال الصلح؟,لا
ما هي الطريقة الوحيدة للطعن في أحكام التحكيم التي تصدر طبقا لأحكام هذا النظام؟,الطعن بالنقض
متى يجوز إجراء الترافع عن بعد؟,فقط في الدعاوى الإدارية
كيف يمكن إجراء الترافع عن بعد؟,عبر البريد الإلكتروني فقط
ماذا يجب على مكتب المحاماة الأجنبي القيام به بعد الحصول على الترخيص لمزاولة المهنة في المملكة؟,يجب عليه الدفع لرسوم الترخيص سنويا
ما هي الشروط التي يجب توافرها لكي تأذن المحكمة بزواج المجنون أو المعتوه؟,يقدم الولي تقريراً طبياً معتمداً عن حالة الجنون أو العته، يقبل الطرف الآخر في عقد الزواج بعد اطلاعه على حالة المجنون أو المعتوه، لا يكون في هذا الزواج مصلحة للمجنون أو المعتوه.
من يقدم الطلب للمحكمة للإذن بزواج المجنون أو المعتوه؟,الطرف الآخر في عقد الزواج
ما هو القرار الجديد المتعلق بصكوك الاستحكام؟,استخراج بدل التالف وبدل المفقود لصكوك تملك العقارات
ما الذي يجب على الجهات ذات العلاقة التأكد منه قبل تحديث صكوك الاستحكام؟,التحقق من استكمالها لجميع الإجراءات الشرعية فقط
في حالة تضمن الحكم المعترض عليه الفصل في عدة طلبات تتفاوت في مدد الاعتراض، فما الذي يعتبر في تحديد المدة؟,العبرة بأولها مدة
ما هي الحالة التي لا تخل بأحكام القضاء المستعجل؟,إذا تضمن الحكم المعترض عليه الفصل في طلبات متفاوتة في الأهمية
ماذا يحدث إذا قتل القاتل حداً بسبب الغيلة؟,يترتب عليه عقوبة القتل فقط
ماذا يحدث عندما يتم العثور على القتل للقاتل؟,يترتب عليه عقوبة القتل
إذا كانت الوصية لفئة غير محصورة، فمن له تنفيذها وتقدير توزيعها على الموصى لهم؟,القاضي
ما هي الاعتبارات التي يجب مراعاتها عند توزيع الوصية على الموصى لهم؟,توزيع الوصية بناءً على الجنس
ماذا يجب تعيينه في المهايأة الزمنية؟,مدة انتفاع الشركاء فقط
ماذا يجب تعيينه في المهايأة المكانية؟,محل انتفاع الشركاء فقط
ما الذي يجب على مدير السجن أو التوقيف تدوينه في السجل الخاص عند السماح لشخص بالاتصال بالموقوف؟,فقط اسم الشخص الذي سُمِح له بذلك
متى لا يُسمع للموكل دعواه في مطالبة محاميه بالأوراق والمستندات المودعة لديه؟,بعد مضي ثلاث سنوات من تاريخ انتهاء مهمته
كيف يمكن للموكل أن يطلب الأوراق والمستندات المودعة لدى محاميه بعد انتهاء مهمته؟,باتصال هاتفي
هل يمكن لذوي الشأن المطالبة أمام المحكمة المختصة بما لهم من حقوق بعد الأمر برد الأشياء المضبوطة؟,فقط إذا كان الأمر بالرد قد صدر من المحكمة بناءً على طلب الشخص المتهم
متى يُستحق الثمن في البيع إذا لم يتم الاتفاق على أن يكون مؤجَّلاً أو مقسَّطاً؟,بعد مرور أسبوع
متى يبدأ الأجل إذا كان الثمن مؤجلاً أو مقسَّطاً في البيع؟,من تاريخ التسليم
متى يمكن إجراء تغيير في الشكل الخارجي للعقار المشترك؟,بموافقة الشركة المالكة للعقار
من يتحمل النفقات عند إجراء أي عمل يترتب عليه زيادة في قيمة العقار المشترك؟,الشركة المالكة للعقار
من يعد مسودة الحكم في القضية؟,القاضي الرئيسي
على أي أساس يتم تجهيز مسودة الحكم؟,وفق رأي الشاهد
هل يمكن توجيه الأمر بإحضار المدعى عليه جبرا إذا كان خارج ولاية المحكمة؟,فقط إذا كان المدعى عليه في نفس الولاية
ما هو القرار الوزاري الذي تم الإشارة إليه في النص؟,القرار الوزاري رقم 526
ما هو القرار الذي تم الموافقة عليه في النص؟,التعديلات على اللوائح التنفيذية
ماذا يترتب على قيد طلب افتتاح إجراء التصفية الإدارية أو افتتاحه؟,يترتب على قيد طلب افتتاح إجراء التصفية الإدارية أو افتتاحه تعليق المطالبات حتى تاريخ حكم المحكمة بقبول طلب الافتتاح أو بإنهاء الإجراء
ماذا يترتب على تحقق الشرط الفاسخ؟,لا يحدث أي تغيير في الالتزام
ماذا يحدث إذا استحال الرد لسبب هو مسؤول عنه الدائن؟,يتم تجاهل القضية
من له الحق في الاعتراض على الإفراج عن المتهم في جميع الأحوال؟,قاضي التحقيق
ما الذي يجب مراعاته عند تعزير شاهد أدلى بأقوال يعلم أنها غير صحيحة؟,ما ورد في المادة (الرابعة والأربعين بعد المائة) من النظام فقط
متى يجب على المحكمة أن تكتب إلى رئيس مجلس الوزراء فيما يتعلق بالأراضي الفضاء؟,إذا كانت الأرض مملوكة للدولة
إذا صدر القرار بالأغلبية، ماذا يجب على العضو صاحب الرأي المخالف من أعضاء اللجنة أن يفعل؟,يجب عليه أن يترك اللجنة
ماذا يجب على الأكثرية أن تفعل في الرد على مخالفة العضو؟,يجب عليها أن تتجاهل مخالفة العضو
متى تنتقل ملكية المبيع إلى المشتري؟,بعد تسديد الثمن
هل يمنع من انتقال الملكية كون البيع تم جُزافاً ولو كان تعيين الثمن فيه يتوقف على تقدير المبيع؟,يعتمد على القانون المحلي
ما هو الاسم الذي ينشأ به المركز بموجب هذا التنظيم؟,مركز الدعم والتوجيه
مع من يرتبط المركز تنظيميًّا؟,الرئيس
ماذا يجب أن يرفق المدين الصغير بطلب تعليق المطالبات؟,الأدلة التي تثبت براءته
ما هو الإيداع في القانون؟,عقد يتطلب من المودع دفع مبلغ معين للمودع.
ما الذي يجب على المودع فعله في عقد الإيداع؟,يستلم مال المودع بعد فترة محددة.
أين يتم توقيع المحضر في حالة المال المحجوز؟,في مكتب الشرطة
على ماذا يتم توقيع المحضر في حالة المال المحجوز؟,على الصفحات الفردية فقط
ماذا تفعل المحكمة إذا تعذر التحقق من صحة الدليل الرقمي لأسباب لا تعود للخصوم؟,تقوم المحكمة بتأجيل القضية حتى يتم التحقق من الدليل الرقمي
ما هو العامل الذي تعتمد عليه المحكمة لتقدير حجية الدليل الرقمي إذا تعذر التحقق من صحته؟,الأدلة الأخرى المقدمة في القضية
متى يجوز تصحيح الصك؟,بمجرد وقوع الخطأ.
هل يمكن تصحيح الصك بعد وقوعه بدون الرجوع إلى نظام المرافعات الشرعية؟,فقط إذا كان الخطأ طفيفاً.
ما هي النقاط التي يجب مراعاتها عند تحديد الأراضي وفقًا للمعلومات المقدمة؟,يجب التحقق من العمل المساحي فقط.
ما هو الهدف من ربط نقاط مضلع الأرض بمعلم طبيعي ثابت؟,لتحديد الجار.
ماذا يحدث إذا انقضت حصة أحد المدينين المتضامنين في الدين باتحاد الذمة؟,الدين ينقضي بالنسبة إلى باقي المدينين بنفس القدر الذي انقضت به حصة المدين الأول
ما هو تأثير انقضاء حصة أحد المدينين المتضامنين في الدين باتحاد الذمة على باقي المدينين؟,الدين ينقضي بالنسبة إلى باقي المدينين بنفس القدر الذي انقضت به حصة المدين الأول
هل يمنع المحامي في الفقرة الأولى من هذه المادة من قبول أي دعوى، أو إعطاء أي استشارة ضد الجهة التي لا يزال يعمل لديها؟,لا يمكن تحديد ذلك من النص
هل يتم تقييد منع المحامي من قبول أي دعوى، أو إعطاء أي استشارة ضد الجهة التي لا يزال يعمل لديها بزمن معين؟,نعم
هل يمكن إدخال شخص في قضية إذا كان إدخاله يتعارض مع اختصاص المحكمة المكاني أو النوعي؟,يمكن
ما الذي يمكن أن يتعارض مع اختصاص المحكمة المكاني أو النوعي؟,إضافة دليل جديد
ماذا يحدث إذا لم يوجد اتفاق على تحديد نصيب كل من المتعاقدين من الربح؟,يتم تحديده بحسب الاتفاق
ماذا يحدث إذا ظهر للدائرة ابتداء أن الدعاوى الواردة في الفقرة (٢) من هذه المادة متوجهة؟,يتم إبلاغ المدعى عليه بالحضور مع استخلاف
ما هو الإجراء الذي يتخذه الدائرة ابتداء عندما تظهر لها أن الدعاوى متوجهة؟,تبلغ المدعى عليه بالحضور مع شروط
ما هي مهام أعضاء النيابة المختصين عند زيارة السجون وأماكن التوقيف؟,الاطلاع على سجل قيد شكاوى المسجونين أو الموقوفين دون التحقق من وجوده.
من على عاتقه إثبات العرف أو العادة التي يتمسك بها في الدعوى؟,على الشاهد
ما الذي يجب أن يثبته الشخص الذي يتمسك بالعرف أو العادة في الدعوى؟,فقط العرف أو العادة التي يتمسك بها
ما هي الأحكام التي تسري على ضمان الحصة إذا كانت حق ملكية أو أي حق عينيّ آخر؟,أحكام الاستئجار
ما هي الأحكام التي تسري على ضمان الحصة إذا كانت مجرد الانتفاع بالمال؟,أحكام الاستئجار
هل يمكن للشريك في الشيوع أن يتخذ الوسائل لحفظ المال الشائع دون موافقة باقي الشركاء؟,فقط إذا كان لديه موافقة من جميع الشركاء
ما هو الحق الذي يمتلكه كل شريك في الشيوع؟,الحق في بيع المال الشائع دون موافقة الشركاء
ما هو دور القاضي المشرف على القيد الأول في حال ظهور عدم الحاجة إلى إحالة القضية للجنة؟,إحالة القضية مباشرة إلى المحكمة
متى يمكن للقاضي المشرف على القيد الأول إصدار قراره نحو الاعتراض؟,إذا كان القاضي يشعر بالضغط من الأطراف المعنية في القضية
متى تطبق أحكام نظام الإجراءات الجزائية؟,في حالة الجرائم البسيطة فقط
إذا غاب المدعي عن أي من جلسات الدعوى ولم يتقدم بعذر تقبله المحكمة، فما هو الحكم الذي يمكن للمحكمة أن تصدره؟,إلغاء الدعوى بالكامل
من يجب عليه الاعتراض على الحكم في حال لم يحكم في الدعوى الجماعية بكامل طلباته؟,النيابة العامة
من يبلغ المدين الصغير في حالة التصويت على المقترح؟,لجنة الإفلاس
ما هي الالتزامات التي يجب على كل من له شأن بتطبيق أحكام النظام؟,الإفصاح عن إجراءات الإبلاغ والاستدلال والتحقيق والمحاكمة للجميع
متى يمكن الإفصاح عن المعلومات التي اطلع عليها الشخص في إطار تطبيق أحكام النظام؟,في أي وقت يرغب الشخص في الإفصاح عنها
متى تُعد أموال المدين الموجودة في ذمة الجهة تحت الحجز؟,بعد تسليم أمر الحجز للمدين
ما هو مبدأ التحكيم المذكور في النص؟,معاملة الأطراف بشكل غير متكافئ وتوفير الفرصة الكاملة لعرض دعواهم أو دفاعهم
ما هي الحقوق التي يتم توفيرها للأطراف في التحكيم حسب النص؟,الفرصة الكاملة ولكن غير المتكافئة لعرض دعواهم أو دفاعهم
كيف يمكن أداء الشهادة في المحكمة؟,عبر البريد الإلكتروني
ماذا يحدث إذا امتنع الشاهد عن الحلف في المحكمة؟,يتم إلغاء الشهادة
ما هي المعلومات التي يجب أن يشتمل عليها إنهاء طالب إثبات الوفاة وحصر الورثة؟,اسم المتوفى، وتاريخ الوفاة ووقتها فقط.
ما هي المعلومات التي يجب أن يشتمل عليها حصر الورثة؟,إثبات أسماء الورثة فقط.
ماذا يجب أن يراعى إذا سقط الحق في الاستئناف وفق الفقرات (190/1) و (190/2) و (190/4) من هذه اللائحة؟,ما ورد في الفقرة (1) من المادة الخامسة والثمانين بعد المائة من هذا النظام
ماذا يحدث إذا تبين من الكشف الطبي أن المحكوم عليها حامل أو نفساء أو مرضع؟,يتم تغيير نوع العقوبة
ماذا يحدث إذا أقر الخلف بمضمون الورقة بعد إنكار الأصيل؟,يسري على كل الأطراف المعنية
ما هو الدور الذي يلعبه القاضي المشرف على القيد الأول فيما يتعلق بالوحدات العقارية المؤجلة؟,يقوم بتحديد قيمة الوحدات العقارية المؤجلة.
ما الذي يشير إليه البيان الذي يعده القاضي المشرف على القيد الأول؟,يشير إلى الأطراف المعنية بالوحدات العقارية المؤجلة.
ما هي القضايا التي يتم تقديم الشكاوى ضدها إلى الرئيس؟,القضايا الجنائية
ما هي الحقوق التي يجب أن تقدمها المحاكم وديوان المظالم واللجان المشار إليها في المادة الأولى من هذا النظام، والدوائر الرسمية وسلطات التحقيق للمحامي؟,السماح له بالاطلاع على الأوراق فقط دون تقديم التسهيلات اللازمة
ما هي المعلومات التي تدرج في القائمة التي تنشئها الوكالة لمقدمي الخدمة المرخص لهم؟,الرقم الضريبي للمرخص له، والبريد الإلكتروني، والموقع الإلكتروني.
متى يتم إدراج المرخص له في القائمة التي تنشئها الوكالة؟,بعد دفع الرسوم المطلوبة.
متى يبدأ العمل باللائحة؟,بعد أسبوع من تاريخ صدورها
أين تنشر اللائحة؟,على الإنترنت
متى تجب العدة في عقد الزواج الصحيح؟,في حالة الخلوة فقط
متى تجب العدة إذا وقعت الفرقة في غير حالة الوفاة؟,بالخلوة فقط
ما هي المعلومات التي يجب على الشاهد ذكرها؟,اسمه الكامل، سنه، مكان إقامته، جهة اتصاله بالخصوم
متى يمكن سماع شهادة الشاهد؟,بحضور الخصوم فقط
ماذا يحدث إذا تعذر إصدار الصك وتوقيعه بعد أن أصدرت الدائرة الحكم ووقعت ضبطه في حالة كون القضية منظورة من دائرة مكونة من أكثر من قاضٍ؟,يتم تأجيل القضية حتى يتمكن القاضي من التوقيع على الصك.
ماذا يحدث إذا تعذر إصدار الصك وتوقيعه بعد أن أصدرت الدائرة الحكم ووقعت ضبطه في حالة كون القضية منظورة من دائرة مكونة من قاضٍ فرد؟,يتم تأجيل القضية حتى يتمكن القاضي من التوقيع على الصك.
ما هي الأحكام التي يتم تبليغ الدائن الأجنبي الذي ليس له عنوان في المملكة بها فيما يتعلق بإجراء الإفلاس أو الاعتراف بإجراء الإفلاس الأجنبي؟,الأحكام التي تتعلق بالتبليغ والإعلان المنصوص عليها في المادة الثامنة من اللائحة
ما هو الإجراء الذي يمكن للمدعي اتخاذه إذا كان المبلغ الذي يستحقه أقل من المبلغ المذكور في صحيفة الدعوى؟,يجب عليه سحب القضية
ما هي الأحكام التي تطبق على أداء الشهادة بالوسائل الحديثة؟,أحكام التحقيق الأولي
ما الذي لا يتم الإخلال به عند تطبيق أحكام الترافع عن بعد على أداء الشهادة بالوسائل الحديثة؟,الأحكام المتعلقة بالترافع الشخصي
هل يمكن للكفيل الرجوع على المدين بما عجّل وفاءه من الدين المؤجل قبل حلول الأجل؟,نعم، حتى بدون إذن المدين
كيف يتم تحديد رواتب كتاب العدل؟,بناءً على الطلب والعرض في السوق القانونية
ما هي مهام مقرر اللجنة؟,يتولى بإشراف النائب الأول لرئيس اللجنة جميع الأعمال الإدارية والكتابية
من يقوم بتقديم طلب التجديد للترخيص؟,النائب العام
متى يجب على المحامي طالب التجديد تقديم طلبه للجنة القيد والقبول؟,بعد انتهاء مدة الترخيص بمدة لا تقل عن ثلاثة أشهر
إذا حكمت الدائرة بعدم قبول الطلب الجديد، فإلى من يمكن للشخص الذي لم يتم قبول طلبه التقدم؟,الدوائر الجنائية
ما هي الإجراءات التي يجب اتباعها عند رفع الدعوى بعد رفض الطلب الجديد؟,الإجراءات الاستثنائية لرفع الدعوى
ماذا يجب على مدعي التزوير تسليمه إلى إدارة المحكمة؟,الاستدعاء الذي تم تقديمه
ما هو الدور الذي يمكن للدائرة أن تلعبه فيما يتعلق بالمصفي ودائني المال المشترك ومدينيه؟,يمكن للدائرة أن تأمر المصفي بتوجيه إعلان لدائني المال المشترك ومدينيه يدعوهم فيه لأن يقدموا بياناً بما عليهم من حقوق وما لهم من ديون
أين يمكن نشر الإعلان الذي يتم توجيهه لدائني المال المشترك ومدينيه؟,يمكن نشر الإعلان في الموقع الإلكتروني للدائرة، أو في أي وسيلة أخرى تراها الوزارة
ماذا يتعلق بذمة المحجوز عليه؟,الحكم المبني على إقراره
متى يشارك المقر له الحاجزين في المال المحجوز؟,إذا كان الإقرار قد ثبت صدوره من المقر أثناء الحجز عليه
ماذا يمكن للدائرة أن تقرر إذا ظهر أن أجرة المثل للحارس على الزروع والثمار قد تستغرق كل محصولها، أو غالبه، مما لا يستفيد معه الدائن، ولا المدين؟,تقرر تحميل الدائن تكاليف الحراسة.
ماذا يحدث إذا لم يُبدِ الموصى له القبول أو الرد على الوصية؟,يتم تجميد الأموال حتى يتم القبول أو الرد
ماذا يحدث إذا كان الموصى له شخصاً اعتبارياً؟,يتم تعيين موصي جديد
ما هي الحالات التي يمكن أن تؤدي إلى انقضاء الدعوى التأديبية؟,تغيير القانون المنظم للمهنة
ما الذي لا يترتب على تقديم الأمين الأجنبي طلب مساعدة قضائية إلى المحكمة؟,خضوع أصول المدين للمحكمة بشكل كامل
متى يخضع الأمين الأجنبي أو أصول المدين أو أعماله خارج المملكة لولاية المحكمة؟,في حالة وجود أصول المدين خارج المملكة
متى لا يسري المنع على المحامي؟,أثناء علاقته بالدعوى
على من لا يسري المنع الوارد في هذه المادة؟,على المتهم
من يلتزم بأجرة إرضاع الطفل الصغير في الحولين إذا تعذر على الأم إرضاعه أو لم تعُد زوجة للأب؟,العم
ماذا يعد أجر إرضاع الطفل الصغير في الحولين إذا تعذر على الأم إرضاعه أو لم تعُد زوجة للأب؟,يعد من الهبة
ما هي الدائرة التي تدون معلومات حول الاطلاع على المذكرة الاعتراضية؟,الدائرة التي تلقت الاعتراض
أين تدون الدائرة معلومات حول الاطلاع على المذكرة الاعتراضية؟,في سجل الحكم
